date,name,symbol,type,price,quantity,note
2025-12-03,北浜キャピタルパートナーズ,2134.T,buy,33,100,
2025-12-03,RVH,6786.T,buy,54,100,
2025-12-03,大黒屋ホールディングス,6993.T,buy,102,100,
2025-12-03,大黒屋ホールディングス,6993.T,buy,98,100,
2025-12-05,北浜キャピタルパートナーズ,2134.T,sell,34,100,
2025-12-05,ベクターホールディングス,2656.T,sell,124,100,
2025-12-05,エス・サイエンス,5721.T,sell,127,200,
2025-12-05,大黒屋ホールディングス,6993.T,sell,95,200,
2025-12-05,ベクターホールディングス,2656.T,buy,120,100,
2025-12-05,オルトプラス,3672.T,buy,58.5,100,
2025-12-05,エス・サイエンス,5721.T,buy,126,200,
2025-12-08,オルトプラス,3672.T,sell,58.5,100,
2025-12-08,大黒屋ホールディングス,6993.T,sell,100,500,
2025-12-08,大黒屋ホールディングス,6993.T,sell,104,500,
2025-12-08,セーラー万年筆,7992.T,sell,117,100,
2025-12-08,大黒屋ホールディングス,6993.T,buy,99,500,
2025-12-08,大黒屋ホールディングス,6993.T,buy,100,500,
2025-12-08,セーラー万年筆,7992.T,buy,115.9,100,
2025-12-08,KOZOホールディングス,9973.T,buy,35,500,
2025-12-09,RVH,6786.T,sell,50.5,100,
2025-12-09,KOZOホールディングス,9973.T,sell,36,500,
2025-12-09,アクセルマーク,3624.T,buy,93,300,
2025-12-09,アクセルマーク,3624.T,buy,93,100,
2025-12-09,アクセルマーク,3624.T,buy,93,100,
2025-12-09,ブライトパス・バイオ,4594.T,buy,55.3,500,
2025-12-10,Retty,7356.T,buy,150,200,
2025-12-12,アクセルマーク,3624.T,sell,89,500,
2025-12-12,ブライトパス・バイオ,4594.T,sell,49,500,
2025-12-12,Retty,7356.T,sell,147,200,
2025-12-12,ブイキューブ,3681.T,buy,112,500,
2025-12-15,ブイキューブ,3681.T,sell,109,500,
2025-12-25,Amazia,4424.T,buy,314,100,
2026-01-06,Amazia,4424.T,sell,307,100,
2026-01-20,メタプラネット,3350.T,buy,530,100,
2026-01-20,メタプラネット,3350.T,buy,538,100,
2026-01-21,メタプラネット,3350.T,buy,486,100,
2026-01-23,メタプラネット,3350.T,buy,500,100,
2026-01-23,メタプラネット,3350.T,buy,504,200,
2026-02-03,メタプラネット,3350.T,sell,400,600,
2026-02-05,三重交通グループホールディングス,3232.T,buy,588,100,
2026-02-05,わかもと製薬,4512.T,buy,345,100,
2026-02-09,BASE,4477.T,buy,325,100,
2026-02-09,日神グループホールディングス,8881.T,buy,804,100,
2026-02-09,日神グループホールディングス,8881.T,buy,802,100,
2026-02-12,シャノン,3976.T,buy,393,100,
2026-02-16,ヒマラヤ,7514.T,buy,886,100,
2026-02-19,わかもと製薬,4512.T,buy,315,400,
2026-02-24,BASE,4477.T,sell,300,100,
2026-02-25,第一交通産業,9035.T,buy,767,100,
2026-03-02,シャノン,3976.T,sell,403,100,
2026-03-03,わかもと製薬,4512.T,sell,340.1,100,
2026-03-03,わかもと製薬,4512.T,sell,340.2,100,
2026-03-03,わかもと製薬,4512.T,sell,340.1,200,
2026-03-03,わかもと製薬,4512.T,sell,340.2,100,
2026-03-03,ジーテクト,5970.T,buy,2020,100,
2026-03-03,ジーテクト,5970.T,buy,1981,100,
2026-03-03,日神グループホールディングス,8881.T,buy,799.7,100,
2026-03-04,ジーテクト,5970.T,buy,1912,200,
2026-03-04,NTT,9432.T,buy,151,200,
2026-03-05,NTT,9432.T,buy,152.1,30,
2026-03-09,NTT,9432.T,buy,150.3,100,
2026-03-24,ヒマラヤ,7514.T,sell,843,100,
2026-03-24,第一交通産業,9035.T,sell,760,100,
2026-03-26,ソフトバンク,9434.T,buy,219.9,100,
2026-03-30,ソフトバンク,9434.T,buy,212.5,100,
2026-04-06,三重交通グループホールディングス,3232.T,sell,558.2,100,
2026-04-06,ジーテクト,5970.T,sell,1898.6,100,
2026-04-08,日本たばこ産業,2914.T,buy,6081,1,
2026-04-09,新日本電工,5563.T,buy,445,100,
2026-04-10,日本たばこ産業,2914.T,buy,6005,1,
2026-04-10,三菱UFJフィナンシャル・グループ,8306.T,buy,2851,25,
2026-04-13,日本たばこ産業,2914.T,buy,5953,1,
2026-04-14,日神グループホールディングス,8881.T,sell,722.6,100,
2026-04-14,日神グループホールディングス,8881.T,sell,722.6,100,
2026-04-14,日神グループホールディングス,8881.T,sell,722.5,100,
2026-04-15,ジーテクト,5970.T,sell,1898.1,200,
2026-04-15,ジーテクト,5970.T,sell,1898.1,100,
2026-04-15,三菱UFJフィナンシャル・グループ,8306.T,buy,2891,100,
2026-04-15,ソフトバンク,9434.T,buy,221,100,
2026-04-17,出前館,2484.T,buy,122.4,100,
2026-04-17,マミヤ・オーピー,7991.T,buy,1323,100,
2026-04-17,東京汽船,9193.T,buy,1071,100,
2026-04-17,乃村工藝社,9716.T,buy,1232.1,100,
2026-04-20,日本たばこ産業,2914.T,sell,5790,3,
2026-04-20,NTT,9432.T,sell,153.3,200,
